,X,Y
47780,225,1042
47800,250,1006
47820,274,960
47840,308,919
47860,335,880
47880,354,838
47900,372,803
47920,390,772
47940,408,742
47960,425,706
47980,443,675
48000,448,643
48020,472,621
48040,486,592
48060,499,563
48080,516,540
48100,527,520
48120,532,491
48140,540,471
48160,555,443
48180,559,426
48200,573,400
48220,583,388
48240,589,367
48260,599,345
48280,604,333
48300,611,313
48320,625,296
48340,634,287
48360,639,268
48380,647,253
48400,652,238
48420,665,223
48440,682,212
48460,703,199
48480,716,184
48500,724,169
48520,730,161
48540,725,149
48560,724,138
48580,730,123
48600,732,106
48620,732,101
48640,734,88
48660,742,72
48680,752,69
48700,766,60
48720,781,53
