,X,Y
57780,541,148
57800,555,167
57820,572,182
57840,606,194
57860,642,208
57880,679,220
57900,725,226
57920,768,234
57940,813,243
57960,857,257
57980,908,262
58000,961,266
58020,1016,276
58040,1060,288
58060,1107,299
58080,1144,311
58100,1170,328
58120,1185,346
58140,1208,368
58160,1228,392
58180,1245,414
58200,1263,434
58220,1284,452
58240,1298,476
58260,1312,499
58280,1323,524
58300,1338,553
58320,1347,579
58340,1354,610
58360,1365,638
58380,1364,660
58400,1378,677
58420,1380,702
58440,1391,721
58460,1401,752
58480,1413,789
58500,1452,839
58520,1495,873
58540,1515,921
58560,1541,966
58580,1556,1008
58600,1579,1053
