,X,Y
79680,1182,77
79700,1177,83
79720,1183,100
79740,1177,111
79760,1178,118
79780,1181,132
79800,1182,143
79820,1186,149
79840,1188,162
79860,1188,172
79880,1180,179
79900,1171,194
79920,1156,213
79940,1143,224
79960,1125,236
79980,1114,246
80000,1098,256
80020,1086,275
80040,1083,290
80060,1074,303
80080,1055,313
80100,1031,328
80120,1002,344
80140,977,365
80160,957,380
80180,927,395
80200,899,413
80220,866,433
80240,845,445
80260,809,469
80280,787,488
80300,768,513
80320,742,531
80340,713,559
80360,687,572
80380,641,597
80400,603,615
80420,575,648
80440,538,669
80460,506,704
80480,475,738
80500,442,773
80520,410,801
80540,370,828
80560,343,865
80580,315,912
80600,281,950
80620,238,988
80640,213,1032
