,X,Y
92620,522,210
92640,527,219
92660,532,233
92680,541,256
92700,545,269
92720,554,289
92740,558,309
92760,567,326
92780,581,346
92800,589,367
92820,597,384
92840,603,409
92860,604,433
92880,598,451
92900,589,479
92920,581,503
92940,581,521
92960,588,548
92980,606,575
93000,626,596
93020,650,620
93040,681,647
93060,712,670
93080,743,699
93100,775,725
93120,805,756
93140,838,784
93160,876,815
93180,909,846
93200,933,881
93220,952,917
93240,985,948
93260,1029,977
93280,1071,1005
93300,1114,1039
93320,1167,1073
