,X,Y
92340,1496,169
92360,1463,174
92380,1428,176
92400,1398,178
92420,1367,181
92440,1337,189
92460,1314,200
92480,1291,211
92500,1261,213
92520,1225,219
92540,1189,225
92560,1168,232
92580,1153,247
92600,1129,253
92620,1091,269
92640,1047,271
92660,1016,279
92680,991,292
92700,973,314
92720,947,330
92740,921,347
92760,893,367
92780,863,385
92800,836,402
92820,798,426
92840,763,439
92860,717,456
92880,674,472
92900,639,496
92920,607,514
92940,580,545
92960,571,572
92980,563,605
93000,549,629
93020,527,655
93040,512,686
93060,493,718
93080,469,748
93100,439,788
93120,413,826
93140,386,864
93160,360,907
93180,343,949
93200,300,995
93220,268,1043
