,X,Y
73020,655,1014
73040,713,965
73060,759,911
73080,808,865
73100,853,823
73120,903,777
73140,942,733
73160,990,703
73180,1026,670
73200,1065,636
73220,1095,594
73240,1124,569
73260,1144,542
73280,1168,504
73300,1192,472
73320,1212,448
73340,1241,429
73360,1262,398
73380,1277,375
73400,1284,351
73420,1293,327
73440,1299,305
73460,1318,280
73480,1326,268
73500,1326,248
73520,1330,222
73540,1337,210
73560,1329,186
73580,1327,169
73600,1330,151
73620,1322,136
73640,1327,122
73660,1319,98
73680,1313,85
73700,1314,75
