,X,Y
93480,1863,920
93500,1817,889
93520,1765,863
93540,1714,829
93560,1669,793
93580,1622,770
93600,1586,736
93620,1554,711
93640,1526,680
93660,1495,647
93680,1475,623
93700,1447,597
93720,1422,573
93740,1391,547
93760,1357,525
93780,1321,503
93800,1297,479
93820,1273,458
93840,1261,440
93860,1255,420
93880,1234,403
93900,1221,386
93920,1198,369
93940,1184,353
93960,1167,334
93980,1153,320
94000,1141,304
94020,1130,285
94040,1128,268
94060,1122,253
94080,1116,239
94100,1110,226
94120,1116,206
94140,1110,199
94160,1103,185
94180,1099,168
94200,1099,154
94220,1098,143
94240,1099,131
94260,1100,116
94280,1092,99
94300,1090,92
94320,1089,78
94340,1076,68
94360,1054,62
94380,1030,53
94400,1010,42
94420,998,41
