,X,Y
42720,477,1033
42740,485,986
42760,501,944
42780,517,903
42800,533,863
42820,549,830
42840,565,796
42860,583,759
42880,602,732
42900,614,701
42920,623,671
42940,639,644
42960,652,615
42980,667,591
43000,681,564
43020,695,548
43040,721,523
43060,743,502
43080,762,481
43100,780,462
43120,801,446
43140,826,426
43160,847,408
43180,867,394
43200,889,379
43220,912,363
43240,931,351
43260,947,333
43280,966,318
43300,994,308
43320,1014,296
43340,1020,282
43360,1033,269
43380,1048,256
43400,1063,242
43420,1074,238
43440,1087,216
43460,1097,213
43480,1112,203
43500,1112,188
43520,1106,174
43540,1104,162
43560,1106,145
43580,1106,136
43600,1105,125
43620,1100,112
43640,1095,101
43660,1092,87
43680,1089,78
43700,1072,66
43720,1047,59
43740,1025,49
43760,1012,49
43780,993,45
43800,974,42
