,X,Y
54940,1202,113
54960,1207,122
54980,1214,133
55000,1213,143
55020,1209,157
55040,1207,170
55060,1202,181
55080,1186,192
55100,1172,203
55120,1155,212
55140,1131,227
55160,1100,230
55180,1065,240
55200,1039,246
55220,1007,255
55240,977,265
55260,941,280
55280,908,290
55300,879,303
55320,846,317
55340,813,324
55360,781,336
55380,742,354
55400,718,368
55420,686,389
55440,661,411
55460,635,425
55480,609,445
55500,594,466
55520,570,490
55540,544,513
55560,516,535
55580,491,564
55600,461,587
55620,428,608
55640,403,632
55660,375,658
55680,341,690
55700,321,721
55720,297,756
55740,274,792
55760,247,829
55780,219,862
55800,191,906
55820,159,949
55840,136,994
55860,108,1045
