,X,Y
96820,235,1023
96840,264,995
96860,279,956
96880,293,917
96900,307,874
96920,323,837
96940,339,804
96960,347,769
96980,351,736
97000,359,705
97020,372,675
97040,387,648
97060,393,619
97080,395,593
97100,399,568
97120,404,547
97140,404,525
97160,404,504
97180,408,484
97200,409,469
97220,407,456
97240,411,440
97260,420,424
97280,425,414
97300,431,401
97320,439,373
97340,441,361
97360,442,348
97380,442,340
97520,433,340
97540,418,341
97560,409,342
97680,407,332
97700,401,332
97720,403,332
97740,403,332
98080,394,327
98100,392,332
98120,375,336
98140,351,341
98160,345,343
99220,354,349
99240,370,354
99260,392,357
99280,419,367
99300,440,375
99320,458,381
99340,474,396
99360,490,407
99380,501,419
99400,509,430
99420,519,444
99440,529,461
99460,533,475
99480,534,487
99500,527,504
99520,528,521
99540,535,539
99560,546,560
99580,560,578
99600,572,595
99620,583,613
99640,599,633
99660,604,651
99680,610,669
99700,624,685
99720,639,704
99740,656,727
99760,674,757
99780,690,783
99800,711,804
99820,726,831
99840,749,858
99860,772,887
99880,787,913
99900,798,940
99920,816,964
99940,837,991
99960,860,1018
99980,892,1038
100000,929,1062
