,X,Y
92200,1746,512
92220,1722,520
92240,1690,516
92260,1657,515
92280,1623,510
92300,1599,495
92320,1575,480
92340,1568,465
92360,1553,448
92380,1525,433
92400,1492,420
92420,1462,409
92440,1437,403
92460,1425,397
92480,1414,390
92500,1423,390
92520,1420,397
92540,1412,380
92560,1400,370
92580,1380,348
92600,1363,334
92620,1345,316
92640,1323,304
92660,1317,291
92680,1309,278
92700,1306,264
92720,1291,253
92740,1276,239
92760,1268,226
92780,1266,213
92800,1259,202
92820,1262,192
92840,1266,180
92860,1268,169
92880,1264,160
92900,1264,150
92920,1250,140
92940,1246,128
92960,1246,117
92980,1245,112
93000,1245,97
93020,1244,91
93040,1249,80
93060,1250,75
93080,1254,66
