,X,Y
92900,466,1012
92920,483,963
92940,511,919
92960,536,873
92980,553,830
93000,570,788
93020,591,749
93040,597,714
93060,585,682
93080,574,648
93100,562,612
93120,557,584
93140,557,553
93160,559,522
93180,564,498
93200,576,474
93220,582,451
93240,588,424
93260,592,403
93280,605,374
93300,617,356
93320,632,336
93340,645,320
93360,661,300
93380,677,281
93400,685,268
93420,691,255
93440,704,241
93460,717,223
93480,727,207
93500,735,193
93520,745,171
93540,746,157
93560,750,140
93580,752,125
93600,746,108
93620,753,104
93640,759,87
93660,766,78
93680,784,71
93700,793,56
93720,809,44
93740,826,44
