,X,Y
94740,1593,410
94760,1560,397
94780,1525,394
94800,1502,385
94820,1473,385
94840,1439,377
94860,1409,379
94880,1376,376
94900,1347,384
94920,1334,392
94940,1316,406
94960,1289,413
94980,1260,423
95000,1244,432
95020,1233,445
95040,1221,466
95060,1219,489
95080,1202,499
95100,1191,520
95120,1185,540
95140,1178,554
95160,1170,561
95180,1156,582
95200,1132,600
95220,1120,617
95240,1118,635
95260,1099,649
95280,1082,661
95300,1061,679
95320,1042,701
95340,1029,717
95360,1021,731
95380,1001,739
95400,989,758
95420,970,769
95440,963,781
95620,962,781
95640,945,786
95660,930,798
95680,905,804
95700,889,811
95720,892,811
95800,889,818
95820,868,823
95840,849,836
95860,821,847
95880,790,863
95900,767,878
95920,734,884
95940,739,903
95960,754,934
95980,774,974
96000,806,1012
96020,857,1040
96040,919,1072
