,X,Y
89140,523,89
89160,516,97
89180,518,111
89200,518,119
89220,516,134
89240,518,144
89260,526,152
89280,535,165
89300,544,177
89320,550,190
89340,560,202
89360,564,214
89380,575,232
89400,581,244
89420,587,255
89440,592,274
89460,596,290
89480,597,305
89500,599,319
89520,601,339
89540,597,354
89560,599,374
89580,604,394
89600,607,412
89620,617,431
89640,630,450
89660,639,471
89680,650,495
89700,663,514
89720,671,539
89740,679,567
89760,686,588
89780,696,610
89800,706,641
89820,719,668
89840,743,688
89860,778,702
89880,812,720
89900,843,746
89920,869,774
89940,900,805
89960,933,835
89980,965,872
90000,998,907
90020,1033,941
90040,1072,974
90060,1110,1011
90080,1147,1053
