,X,Y
72900,119,985
72920,154,954
72940,187,925
72960,219,906
72980,260,872
73000,316,801
73020,364,777
73040,397,745
73060,433,705
73080,478,672
73100,514,645
73120,553,616
73140,576,586
73160,599,556
73180,629,532
73200,667,510
73220,696,483
73240,725,463
73260,752,448
73280,790,427
73300,825,412
73320,859,396
73340,900,372
73360,924,359
73380,953,345
73400,983,319
73420,1009,310
73440,1028,292
73460,1046,282
73480,1068,272
73500,1075,261
73520,1112,248
73540,1137,230
73560,1165,226
73580,1181,212
73600,1212,205
73620,1212,186
73640,1220,170
73660,1216,160
73680,1213,141
73700,1213,128
73720,1210,118
73740,1225,104
73760,1220,97
73780,1216,88
73800,1230,71
73820,1236,62
