,X,Y
45960,1581,398
45980,1552,397
46000,1525,394
46020,1492,396
46040,1465,395
46060,1453,395
46080,1445,396
46100,1441,395
46520,1419,391
46540,1419,394
46720,1422,393
46740,1413,393
46760,1402,396
46780,1391,403
46800,1388,414
46820,1381,413
46840,1371,413
46860,1364,415
46880,1355,410
46900,1352,411
46920,1355,414
46940,1354,416
53800,1346,406
53820,1342,404
53840,1338,407
53860,1340,407
53880,1338,411
53900,1329,416
53920,1317,422
53940,1308,433
53960,1295,447
53980,1281,462
54000,1262,472
54020,1248,488
54040,1234,508
54060,1213,527
54080,1196,543
54100,1165,557
54120,1134,577
54140,1109,600
54160,1092,626
54180,1065,637
54200,1038,661
54220,1012,684
54240,989,707
54260,947,734
54280,914,757
54300,878,778
54320,841,803
54340,800,828
54360,763,860
54380,724,888
54400,681,916
54420,639,944
54440,592,977
54460,539,1010
54480,493,1048
