,X,Y
79140,1696,1011
79144,1695,1002
79148,1695,994
79152,1694,985
79156,1694,977
79160,1694,969
79164,1692,961
79168,1690,953
79172,1689,946
79176,1687,938
79180,1686,931
79184,1685,923
79188,1684,915
79192,1683,907
79196,1682,899
79200,1682,891
79204,1681,884
79208,1681,877
79212,1680,870
79216,1680,863
79220,1680,856
79224,1679,848
79228,1679,841
79232,1679,834
79236,1679,827
79240,1679,820
79244,1679,813
79248,1679,806
79252,1679,799
79256,1679,792
79260,1679,786
79264,1680,779
79268,1681,773
79272,1682,766
79276,1683,760
79280,1684,754
79284,1685,748
79288,1686,742
79292,1688,736
79296,1689,730
79300,1691,724
79304,1693,719
79308,1695,714
79312,1697,709
79316,1699,704
79320,1701,700
79324,1704,695
79328,1708,691
79332,1711,686
79336,1715,682
79340,1719,678
79344,1723,671
79348,1727,665
79352,1731,658
79356,1735,652
79360,1739,646
79364,1742,645
79368,1745,644
79372,1748,643
79376,1751,642
79380,1754,642
79384,1756,638
79388,1759,635
79392,1761,631
79396,1764,628
79400,1767,625
79404,1772,626
79408,1778,628
79412,1784,630
79416,1790,632
79420,1796,634
79424,1795,635
79428,1795,637
79432,1795,639
79436,1795,641
79440,1795,643
79444,1792,644
79448,1789,645
79452,1786,646
79456,1783,647
79460,1781,648
79464,1781,648
79468,1781,648
79472,1781,648
79476,1781,648
79480,1781,649
