,X,Y
30640,1230,83
30644,1227,86
30648,1224,90
30652,1221,93
30656,1218,97
30660,1216,101
30664,1215,102
30668,1214,103
30672,1214,105
30676,1213,106
30680,1213,108
30684,1213,108
30688,1213,109
30692,1213,109
30696,1213,110
30700,1214,111
30704,1214,111
30708,1215,111
30712,1216,112
30716,1217,112
30720,1218,113
30724,1217,114
30728,1217,116
30732,1216,118
30736,1216,120
30740,1216,122
30744,1215,123
30748,1214,124
30752,1213,125
30756,1212,126
30760,1212,127
30764,1211,130
30768,1211,134
30772,1210,138
30776,1210,142
30780,1210,146
30784,1210,147
30788,1210,149
30792,1210,150
30796,1210,152
30800,1211,154
30804,1209,157
30808,1207,160
30812,1205,164
30816,1203,167
30820,1202,171
30824,1202,173
30828,1202,175
30832,1202,177
30836,1202,179
30840,1202,182
30844,1198,183
30848,1194,184
30852,1190,185
30856,1186,186
30860,1183,187
30864,1181,189
30868,1179,192
30872,1177,195
30876,1175,198
30880,1174,201
30884,1169,202
30888,1164,203
30892,1160,204
30896,1155,205
30900,1151,206
30904,1148,208
30908,1145,211
30912,1142,214
30916,1139,217
30920,1136,220
30924,1131,222
30928,1126,224
30932,1121,226
30936,1116,228
30940,1112,231
30944,1107,232
30948,1103,233
30952,1099,235
30956,1095,236
30960,1091,238
30964,1087,240
30968,1083,243
30972,1080,245
30976,1076,248
30980,1073,251
30984,1070,254
30988,1067,257
30992,1064,260
30996,1061,263
31000,1059,267
31004,1056,269
31008,1053,271
31012,1050,273
31016,1047,275
31020,1045,278
31024,1040,280
31028,1036,282
31032,1032,284
31036,1028,286
31040,1024,289
31044,1021,292
31048,1018,295
31052,1015,298
31056,1012,301
31060,1009,304
31064,1005,307
31068,1001,310
31072,997,313
31076,993,316
31080,990,320
31084,985,322
31088,981,324
31092,977,326
31096,973,328
31100,969,331
31104,965,333
31108,962,335
31112,958,338
31116,955,340
31120,952,343
31124,948,346
31128,945,349
31132,941,352
31136,938,355
31140,935,358
31144,929,361
31148,924,364
31152,919,367
31156,914,370
31160,909,373
31164,904,376
31168,899,379
31172,894,382
31176,889,385
31180,885,389
31184,877,390
31188,870,391
31192,862,393
31196,855,394
31200,848,396
31204,842,400
31208,837,405
31212,831,409
31216,826,414
31220,821,419
31224,815,421
31228,809,423
31232,803,425
31236,797,427
31240,791,430
31244,783,433
31248,776,436
31252,769,439
31256,762,442
31260,755,445
31264,748,448
31268,742,451
31272,736,454
31276,730,457
31280,724,461
31284,718,464
31288,712,467
31292,706,470
31296,700,473
31300,695,477
31304,690,480
31308,685,483
31312,680,487
31316,675,490
31320,670,494
31324,666,499
31328,662,504
31332,658,509
31336,654,514
31340,650,519
31344,645,523
31348,640,527
31352,635,532
31356,630,536
31360,626,541
31364,618,544
31368,610,548
31372,602,552
31376,594,556
31380,587,560
31384,580,564
31388,574,569
31392,567,573
31396,561,578
31400,555,583
31404,550,587
31408,546,591
31412,541,595
31416,537,599
31420,533,603
31424,528,607
31428,523,612
31432,518,617
31436,513,622
31440,509,627
31444,503,632
31448,498,637
31452,493,643
31456,488,648
31460,483,654
31464,477,658
31468,471,663
31472,466,668
31476,460,673
31480,455,678
31484,451,683
31488,447,688
31492,444,694
31496,440,699
31500,437,705
31504,431,710
31508,425,716
31512,419,722
31516,414,727
31520,408,733
31524,402,739
31528,397,744
31532,391,750
31536,385,756
31540,380,762
31544,375,772
31548,370,782
31552,365,792
31556,360,802
31560,355,812
31564,349,815
31568,343,818
31572,337,822
31576,331,825
31580,326,829
31584,320,837
31588,314,845
31592,308,853
31596,302,861
31600,296,870
31604,289,877
31608,283,884
31612,276,892
31616,270,899
31620,264,907
31624,257,914
31628,251,921
31632,244,929
31636,238,936
31640,232,944
31644,226,953
31648,221,962
31652,216,971
31656,211,980
31660,206,990
31664,199,998
31668,192,1006
31672,185,1015
31676,178,1023
31680,172,1032
31684,166,1036
31688,160,1041
31692,155,1045
31696,149,1050
31700,144,1055
