,X,Y
88720,1587,312
88724,1579,311
88728,1571,310
88732,1563,309
88736,1555,308
88740,1547,308
88744,1539,306
88748,1532,304
88752,1524,303
88756,1517,301
88760,1510,300
88764,1501,299
88768,1492,298
88772,1484,297
88776,1475,296
88780,1467,296
88784,1459,294
88788,1451,293
88792,1443,291
88796,1435,290
88800,1428,289
88804,1420,288
88808,1412,287
88812,1405,286
88816,1397,285
88820,1390,285
88824,1382,285
88828,1374,285
88832,1366,285
88836,1358,285
88840,1351,285
88844,1343,285
88848,1336,285
88852,1328,285
88856,1321,285
88860,1314,285
88864,1306,283
88868,1298,282
88872,1291,280
88876,1283,279
88880,1276,278
88884,1268,277
88888,1261,277
88892,1254,276
88896,1247,276
88900,1240,276
88904,1231,276
88908,1223,276
88912,1214,276
88916,1206,276
88920,1198,276
88924,1190,274
88928,1182,273
88932,1175,272
88936,1167,271
88940,1160,270
88944,1152,269
88948,1145,268
88952,1137,267
88956,1130,266
88960,1123,266
88964,1114,265
88968,1106,264
88972,1097,263
88976,1089,262
88980,1081,261
88984,1073,260
88988,1066,259
88992,1058,258
88996,1051,257
89000,1044,256
89004,1036,254
89008,1028,252
89012,1021,251
89016,1013,249
89020,1006,248
89024,999,247
89028,993,246
89032,987,246
89036,981,245
89040,975,245
89044,967,244
89048,960,243
89052,953,242
89056,946,241
89060,939,240
89064,931,239
89068,923,239
89072,915,238
89076,907,238
89080,900,238
89084,893,236
89088,886,235
89092,879,234
89096,872,233
89100,865,232
89104,858,230
89108,851,228
89112,845,227
89116,838,225
89120,832,224
89124,825,223
89128,818,222
89132,811,222
89136,804,221
89140,797,221
89144,790,219
89148,783,217
89152,777,216
89156,770,214
89160,764,213
89164,757,211
89168,751,209
89172,744,207
89176,738,205
89180,732,204
89184,726,203
89188,720,202
89192,714,202
89196,708,201
89200,702,201
89204,695,200
89208,688,199
89212,681,198
89216,674,197
89220,668,196
89224,663,194
89228,658,193
89232,653,191
89236,648,190
89240,643,189
89244,638,187
89248,634,185
89252,629,183
89256,625,181
89260,621,179
89264,619,177
89268,617,176
89272,615,174
89276,613,173
89280,612,172
89284,611,169
89288,610,166
89292,609,164
89296,608,161
89300,607,159
89304,606,157
89308,606,155
89312,605,153
89316,605,151
89320,605,149
89324,603,146
89328,602,144
89332,600,141
89336,599,139
89340,598,137
89344,597,135
89348,596,133
89352,595,131
89356,594,129
89360,593,127
89364,593,125
89368,594,123
89372,594,121
89376,595,119
89380,596,117
89384,595,114
89388,594,111
89392,593,108
89396,592,105
89400,591,103
89404,592,100
89408,593,98
89412,594,95
89416,595,93
89420,596,91
89424,596,89
89428,597,88
89432,597,86
89436,598,85
89440,599,84
89444,599,81
89448,599,79
89452,599,77
89456,599,75
89460,600,73
89464,600,70
89468,600,67
89472,600,64
89476,600,61
89480,600,58
