,X,Y
27780,1348,1049
27784,1332,1043
27788,1316,1037
27792,1300,1031
27796,1284,1025
27800,1268,1020
27804,1254,1015
27808,1240,1010
27812,1226,1005
27816,1212,1000
27820,1198,995
27824,1184,988
27828,1171,982
27832,1158,976
27836,1145,970
27840,1132,964
27844,1120,955
27848,1108,946
27852,1096,938
27856,1084,929
27860,1072,921
27864,1059,913
27868,1047,905
27872,1034,897
27876,1022,889
27880,1010,882
27884,998,875
27888,986,868
27892,975,861
27896,963,854
27900,952,847
27904,939,842
27908,926,837
27912,913,832
27916,900,827
27920,887,822
27924,874,816
27928,862,811
27932,850,805
27936,838,800
27940,826,795
27944,813,791
27948,801,787
27952,788,784
27956,776,780
27960,764,777
27964,752,773
27968,740,769
27972,728,766
27976,716,762
27980,705,759
27984,692,755
27988,679,751
27992,666,747
27996,653,743
28000,641,739
28004,630,735
28008,619,732
28012,608,728
28016,597,725
28020,586,722
28024,573,719
28028,561,717
28032,548,715
28036,536,713
28040,524,711
28044,512,705
28048,501,699
28052,490,693
28056,479,687
28060,468,682
28064,456,678
28068,445,674
28072,434,670
28076,423,666
28080,412,662
28084,402,659
28088,392,656
28092,382,653
28096,372,650
28100,362,647
28104,351,643
28108,340,639
28112,329,636
28116,318,632
28120,308,629
28124,296,625
28128,284,622
28132,273,618
28136,261,615
28140,250,612
28144,239,609
28148,229,607
28152,219,605
28156,209,603
28160,199,601
28164,187,598
28168,176,595
28172,165,592
28176,154,589
28180,143,586
28184,132,583
28188,121,581
28192,111,578
28196,100,576
28200,90,574
28204,79,569
28208,69,565
28212,59,561
28216,49,557
28220,39,553
