,X,Y
9160,1169,1035
9164,1162,1032
9168,1155,1030
9172,1149,1027
9176,1142,1025
9180,1136,1023
9184,1130,1022
9188,1125,1021
9192,1119,1020
9196,1114,1019
9200,1109,1018
9204,1099,1011
9208,1090,1004
9212,1080,997
9216,1071,990
9220,1062,983
9224,1055,974
9228,1048,965
9232,1042,956
9236,1035,947
9240,1029,939
9244,1024,932
9248,1019,926
9252,1015,919
9256,1010,913
9260,1006,907
9264,980,883
9268,955,860
9272,929,837
9276,904,814
9280,879,791
9284,873,786
9288,867,781
9292,862,776
9296,856,771
9300,851,766
9304,846,760
9308,841,754
9312,837,748
9316,832,742
9320,828,736
9324,820,727
9328,812,719
9332,805,711
9336,797,703
9340,790,695
9344,784,689
9348,778,683
9352,772,677
9356,766,671
9360,761,666
9364,754,657
9368,748,649
9372,742,640
9376,736,632
9380,730,624
9384,725,618
9388,720,612
9392,716,606
9396,711,600
9400,707,595
9404,701,588
9408,696,582
9412,691,575
9416,686,569
9420,681,563
9424,676,555
9428,672,547
9432,668,540
9436,664,532
9440,660,525
9444,656,521
9448,652,517
9452,649,513
9456,645,509
9460,642,505
9464,638,500
9468,635,495
9472,632,490
9476,629,485
9480,626,480
9484,623,474
9488,620,469
9492,617,464
9496,614,459
9500,611,454
9504,608,448
9508,605,443
9512,603,438
9516,600,433
9520,598,428
9524,599,422
9528,600,416
9532,601,410
9536,602,404
9540,603,398
9544,602,394
9548,601,390
9552,600,386
9556,599,382
9560,598,379
9564,594,374
9568,591,369
9572,588,365
9576,585,360
9580,582,356
9584,577,352
9588,573,348
9592,569,344
9596,565,340
9600,561,337
9604,557,334
9608,553,332
9612,549,330
9616,545,328
9620,542,326
9624,538,322
9628,534,318
9632,530,315
9636,526,311
9640,522,308
9644,522,306
9648,523,304
9652,524,302
9656,525,300
9660,526,298
9664,523,298
9668,520,298
9672,517,298
9676,514,298
9680,512,298
9684,511,296
9688,511,294
9692,511,292
9696,511,290
9700,511,288
9704,509,287
9708,508,286
9712,507,286
9716,506,285
9720,505,285
9724,504,284
9728,504,284
9732,503,283
9736,503,283
9740,503,283
9744,501,284
9748,500,285
9752,498,287
9756,497,288
9760,496,290
9764,494,291
9768,492,293
9772,490,294
9776,488,296
9780,487,298
9784,487,298
9788,487,298
9792,487,298
9796,487,298
9800,488,299
9804,488,300
9808,488,302
9812,488,304
9816,488,306
9820,489,308
9824,487,309
9828,486,311
9832,484,312
9836,483,314
9840,482,316
9844,481,316
9848,481,316
9852,481,316
9856,481,316
9860,481,317
9864,481,317
9868,481,317
9872,481,317
9876,481,317
9880,481,317
9884,481,317
9888,481,317
9892,481,317
9896,481,317
9900,481,317
9904,481,317
9908,481,317
9912,481,317
9916,481,317
9920,481,317
9924,481,317
9928,481,317
9932,481,317
9936,481,317
9940,481,317
9944,481,317
9948,481,317
9952,481,317
9956,481,317
9960,481,317
9964,481,317
9968,481,317
9972,481,317
9976,481,317
9980,481,318
9984,481,318
9988,481,318
9992,481,318
9996,481,318
10000,481,318
10004,481,318
10008,481,318
10012,481,318
10016,481,318
10020,481,318
10024,481,318
10028,481,318
10032,481,318
10036,481,318
10040,481,318
10044,481,318
10048,481,318
10052,481,318
10056,481,318
10060,481,318
10064,481,318
10068,481,318
10072,481,318
10076,481,318
10080,481,318
10084,481,318
10088,481,318
10092,481,318
10096,481,318
10100,481,319
10104,481,319
10108,481,319
10112,481,319
10116,481,319
10120,481,319
10124,481,319
10128,481,319
10132,481,319
10136,481,319
10140,481,319
10144,481,319
10148,481,319
10152,481,319
10156,481,319
10160,481,319
10164,481,319
10168,481,319
10172,481,319
10176,481,319
10180,481,319
10184,481,319
10188,481,319
10192,481,319
10196,481,319
10200,481,319
10204,481,319
10208,481,319
10212,481,319
10216,481,319
10220,481,320
10224,481,320
10228,481,320
10232,481,320
10236,481,320
10240,481,320
10244,481,320
10248,481,320
10252,481,320
10256,481,320
10260,481,320
10264,481,320
10268,481,320
10272,481,320
10276,481,320
10280,481,320
10284,481,320
10288,481,320
10292,481,320
10296,481,320
10300,481,320
10304,481,320
10308,481,320
10312,481,320
10316,481,320
10320,481,320
10324,481,320
10328,481,320
10332,481,320
10336,481,320
10340,481,321
10344,481,321
10348,481,321
10352,481,321
10356,481,321
10360,481,321
10364,481,321
10368,481,321
10372,481,321
10376,481,321
10380,481,321
10384,481,321
10388,481,321
10392,481,321
10396,481,321
10400,481,321
10404,481,321
10408,481,321
10412,481,321
10416,481,321
10420,481,321
10424,481,321
10428,481,321
10432,481,321
10436,481,321
10440,481,321
10444,481,321
10448,481,321
10452,481,321
10456,481,321
10460,481,322
10464,480,322
10468,480,322
10472,479,322
10476,479,322
10480,479,322
10484,477,322
10488,476,323
10492,474,323
10496,473,324
10500,472,325
10504,471,325
10508,470,325
10512,469,325
10516,468,325
10520,467,325
10524,466,324
10528,466,324
10532,466,324
10536,466,324
10540,466,324
10544,466,324
10548,466,324
10552,466,324
10556,466,324
10560,466,324
10564,466,324
10568,466,324
10572,466,324
10576,466,324
10580,466,324
10584,466,324
10588,466,324
10592,466,324
10596,465,324
10600,465,324
10604,465,324
10608,465,324
10612,465,324
10616,465,324
10620,465,324
10624,465,324
10628,465,324
10632,465,324
10636,465,324
10640,465,324
10644,465,324
10648,465,324
10652,465,324
10656,465,324
10660,465,324
10664,465,324
10668,465,324
10672,464,324
10676,464,324
10680,464,324
10684,464,324
10688,464,324
10692,464,324
10696,464,324
10700,464,324
10704,464,324
10708,464,324
10712,464,324
10716,464,324
10720,464,324
10724,464,324
10728,464,324
10732,464,324
10736,464,324
10740,464,324
10744,464,324
10748,463,324
10752,463,324
10756,463,324
10760,463,324
10764,463,324
10768,463,324
10772,463,324
10776,463,324
10780,463,324
10784,463,324
10788,463,324
10792,463,324
10796,463,324
10800,463,324
10804,463,324
10808,463,324
10812,463,324
10816,463,324
10820,462,324
10824,462,324
10828,462,324
10832,462,324
10836,462,324
10840,462,324
10844,462,324
10848,462,324
10852,462,324
10856,462,324
10860,462,324
10864,462,324
10868,462,324
10872,462,324
10876,462,324
10880,462,324
10884,462,324
10888,462,324
10892,462,324
10896,461,323
10900,461,323
10904,461,323
10908,461,323
10912,461,323
10916,461,323
10920,461,323
10924,461,323
10928,461,323
10932,461,323
10936,461,323
10940,461,323
10944,461,323
10948,461,323
10952,461,323
10956,461,323
10960,461,323
10964,461,323
10968,461,323
10972,460,323
10976,460,323
10980,460,323
10984,460,323
10988,460,323
10992,460,323
10996,460,323
11000,460,323
11004,460,323
11008,460,323
11012,460,323
11016,460,323
11020,460,323
11024,460,323
11028,460,323
11032,460,323
11036,460,323
11040,460,323
11044,459,323
11048,459,323
11052,459,323
11056,459,323
11060,459,323
11064,459,323
11068,459,323
11072,459,323
11076,459,323
11080,459,323
11084,459,323
11088,459,323
11092,459,323
11096,459,323
11100,459,323
11104,459,323
11108,459,323
11112,459,323
11116,459,323
11120,458,323
11124,458,323
11128,458,323
11132,458,323
11136,458,323
11140,458,323
11144,458,323
11148,458,323
11152,458,323
11156,458,323
11160,458,323
11164,458,323
11168,458,323
11172,458,323
11176,458,323
11180,458,323
11184,458,323
11188,458,323
11192,458,323
11196,457,323
11200,457,323
11204,457,323
11208,457,323
11212,457,323
11216,457,323
11220,457,323
11224,457,323
11228,457,323
11232,457,323
11236,457,323
11240,457,323
11244,457,323
11248,457,323
11252,457,323
11256,457,323
11260,457,323
11264,457,323
11268,456,322
11272,456,322
11276,456,322
11280,456,322
11284,456,322
11288,456,322
11292,456,322
11296,456,322
11300,456,322
11304,456,322
11308,456,322
11312,456,322
11316,456,322
11320,456,322
11324,456,322
11328,456,322
11332,456,322
11336,456,322
11340,456,322
11344,455,322
11348,455,322
11352,455,322
11356,455,322
11360,455,322
11364,455,322
11368,455,322
11372,455,322
11376,455,322
11380,455,322
11384,455,322
11388,455,322
11392,455,322
11396,455,322
11400,455,322
11404,455,322
11408,455,322
11412,455,322
11416,455,322
11420,454,322
11424,454,322
11428,454,322
11432,454,322
11436,454,322
11440,454,322
11444,454,322
11448,454,322
11452,454,322
11456,454,322
11460,454,322
11464,454,322
11468,454,322
11472,454,322
11476,454,322
11480,454,322
11484,454,322
11488,454,322
11492,453,322
11496,453,322
11500,453,322
11504,453,322
11508,453,322
11512,453,322
11516,453,322
11520,453,322
11524,453,322
11528,453,322
11532,453,322
11536,453,322
11540,453,322
11544,453,322
11548,453,322
11552,453,322
11556,453,322
11560,453,322
11564,453,322
11568,452,322
11572,452,322
11576,452,322
11580,452,322
11584,452,322
11588,452,322
11592,452,322
11596,452,322
11600,452,322
11604,452,322
11608,452,322
11612,452,322
11616,452,322
11620,452,322
11624,452,322
11628,452,322
11632,452,322
11636,452,322
11640,452,322
11644,451,323
11648,450,324
11652,449,325
11656,448,326
11660,447,328
11664,446,328
11668,446,328
11672,445,329
11676,445,329
11680,445,330
11684,444,329
11688,444,329
11692,444,328
11696,444,328
11700,444,328
11704,443,327
11708,443,327
11712,443,326
11716,443,326
11720,443,326
11724,442,325
11728,442,325
11732,442,324
11736,442,324
11740,442,324
11744,441,323
11748,440,323
11752,440,322
11756,439,322
11760,439,322
11764,438,322
11768,438,322
11772,438,322
11776,438,322
11780,438,322
11784,438,322
11788,438,322
11792,438,322
11796,438,322
11800,438,322
11804,438,322
11808,438,322
11812,438,322
11816,438,322
11820,438,322
11824,438,322
11828,438,322
11832,438,322
11836,438,322
11840,438,322
11844,438,322
11848,438,322
11852,438,322
11856,438,322
11860,438,322
11864,438,322
11868,438,322
11872,438,322
11876,438,322
11880,438,322
11884,438,322
11888,438,322
11892,438,322
11896,438,322
11900,438,322
11904,438,322
11908,438,322
11912,438,322
11916,438,322
11920,438,322
11924,438,322
11928,438,322
11932,438,322
11936,438,322
11940,438,322
11944,438,322
11948,438,322
11952,438,322
11956,438,322
11960,438,322
11964,438,322
11968,438,322
11972,438,322
11976,438,322
11980,438,322
11984,438,322
11988,438,322
11992,438,322
11996,438,322
12000,438,322
12004,437,322
12008,437,322
12012,437,322
12016,437,322
12020,437,322
12024,437,322
12028,437,322
12032,437,322
12036,437,322
12040,437,322
12044,437,322
12048,437,322
12052,437,322
12056,437,322
12060,437,322
12064,437,322
12068,437,322
12072,437,322
12076,437,322
12080,437,322
12084,437,322
12088,437,322
12092,437,322
12096,437,322
12100,437,322
12104,437,322
12108,437,322
12112,437,322
12116,437,322
12120,437,322
12124,437,322
12128,437,322
12132,437,322
12136,437,322
12140,437,322
12144,437,322
12148,437,322
12152,437,322
12156,437,322
12160,437,322
12164,437,322
