,X,Y
83560,780,1021
83564,788,1016
83568,796,1011
83572,804,1006
83576,812,1001
83580,820,997
83584,825,990
83588,830,984
83592,836,977
83596,841,971
83600,847,965
83604,851,958
83608,856,951
83612,860,945
83616,865,938
83620,870,932
83624,876,926
83628,882,921
83632,888,915
83636,894,910
83640,900,905
83644,906,899
83648,912,893
83652,918,888
83656,924,882
83660,931,877
83664,937,871
83668,943,866
83672,949,860
83676,955,855
83680,961,850
83684,966,844
83688,971,839
83692,976,834
83696,981,829
83700,986,824
83704,990,818
83708,994,812
83712,999,807
83716,1003,801
83720,1008,796
83724,1013,791
83728,1018,786
83732,1024,781
83736,1029,776
83740,1035,772
83744,1039,767
83748,1043,762
83752,1047,757
83756,1051,752
83760,1055,748
83764,1058,742
83768,1062,737
83772,1065,731
83776,1069,726
83780,1073,721
83784,1075,715
83788,1077,710
83792,1079,705
83796,1081,700
83800,1084,695
83804,1086,689
83808,1088,683
83812,1090,677
83816,1092,671
83820,1094,665
83824,1095,660
83828,1097,655
83832,1099,650
83836,1101,645
83840,1103,640
83844,1105,636
83848,1107,632
83852,1110,628
83856,1112,624
83860,1115,620
83864,1117,615
83868,1119,610
83872,1122,605
83876,1124,600
83880,1127,596
83884,1128,591
83888,1130,587
83892,1131,583
83896,1133,579
83900,1135,575
83904,1136,571
83908,1137,567
83912,1138,563
83916,1139,559
83920,1141,555
83924,1142,550
83928,1143,546
83932,1145,542
83936,1146,538
83940,1148,534
83944,1149,530
83948,1150,526
83952,1152,522
83956,1153,518
83960,1155,514
83964,1156,510
83968,1157,506
83972,1159,502
83976,1160,498
83980,1162,495
83984,1163,490
83988,1164,486
83992,1165,482
83996,1166,478
84000,1167,474
84004,1167,470
84008,1167,467
84012,1167,463
84016,1167,460
84020,1168,457
84024,1168,453
84028,1169,449
84032,1170,445
84036,1171,441
84040,1172,438
84044,1174,433
84048,1176,429
84052,1178,424
84056,1180,420
84060,1183,416
84064,1184,412
84068,1186,408
84072,1187,404
84076,1189,400
84080,1191,396
84084,1192,393
84088,1194,390
84092,1195,387
84096,1197,384
84100,1199,381
84104,1202,378
84108,1205,375
84112,1209,372
84116,1212,369
84120,1216,367
84124,1217,364
84128,1219,361
84132,1221,358
84136,1223,355
84140,1225,353
84144,1225,350
84148,1225,347
84152,1225,345
84156,1225,342
84160,1225,340
84164,1227,337
84168,1229,335
84172,1231,333
84176,1233,331
84180,1235,329
84184,1236,325
84188,1238,322
84192,1239,318
84196,1241,315
84200,1243,312
84204,1244,309
84208,1245,306
84212,1246,303
84216,1247,300
84220,1249,298
84224,1249,295
84228,1249,293
84232,1250,291
84236,1250,289
84240,1251,287
84244,1251,285
84248,1251,283
84252,1251,281
84256,1251,279
84260,1252,277
84264,1253,274
84268,1254,272
84272,1255,269
84276,1256,267
84280,1258,265
84284,1259,262
84288,1260,259
84292,1261,256
84296,1262,253
84300,1264,251
84304,1266,248
84308,1268,245
84312,1270,242
84316,1272,239
84320,1274,237
84324,1274,235
84328,1275,233
84332,1276,232
84336,1277,230
84340,1278,229
84344,1278,225
84348,1278,222
84352,1278,219
84356,1278,216
84360,1278,213
84364,1278,211
84368,1278,210
84372,1278,208
84376,1278,207
84380,1278,206
84384,1278,203
84388,1278,201
84392,1279,199
84396,1279,197
84400,1280,195
84404,1281,193
84408,1282,191
84412,1283,190
84416,1284,188
84420,1285,187
84424,1285,184
84428,1285,182
84432,1285,180
84436,1285,178
84440,1285,176
84444,1285,174
84448,1286,172
84452,1287,170
84456,1288,168
84460,1289,166
84464,1289,163
84468,1289,160
84472,1289,158
84476,1289,155
84480,1289,153
84484,1289,151
84488,1289,149
84492,1289,147
84496,1289,145
84500,1289,143
84504,1289,141
84508,1289,139
84512,1289,137
84516,1289,135
84520,1289,133
84524,1289,131
84528,1289,129
84532,1289,127
84536,1289,125
84540,1289,124
84544,1287,121
84548,1285,119
84552,1284,117
84556,1282,115
84560,1281,113
84564,1281,111
84568,1281,110
84572,1281,108
84576,1281,107
84580,1281,106
84584,1280,103
84588,1279,100
84592,1279,98
84596,1278,95
84600,1278,93
84604,1278,92
84608,1278,91
84612,1278,90
84616,1278,89
84620,1278,89
84624,1278,87
84628,1278,86
84632,1278,84
84636,1278,83
84640,1278,82
84644,1278,80
84648,1279,78
84652,1279,76
84656,1280,74
84660,1281,72
