,X,Y
75460,544,174
75464,547,175
75468,551,176
75472,555,177
75476,559,178
75480,563,179
75484,566,183
75488,570,187
75492,573,191
75496,577,195
75500,581,200
75504,584,202
75508,587,205
75512,590,207
75516,593,210
75520,596,213
75524,602,215
75528,608,217
75532,615,219
75536,621,221
75540,628,224
75544,631,225
75548,635,226
75552,639,227
75556,643,228
75560,647,230
75564,652,232
75568,657,234
75572,662,236
75576,667,238
75580,672,241
75584,675,242
75588,679,244
75592,682,245
75596,686,247
75600,690,249
75604,695,250
75608,701,252
75612,707,254
75616,713,256
75620,719,258
75624,724,260
75628,729,262
75632,734,265
75636,739,267
75640,744,270
75644,749,272
75648,754,275
75652,759,277
75656,764,280
75660,770,283
75664,775,285
75668,780,287
75672,785,290
75676,790,292
75680,796,295
75684,801,297
75688,806,299
75692,812,301
75696,817,303
75700,823,305
75704,828,308
75708,833,311
75712,838,314
75716,843,317
75720,848,321
75724,853,323
75728,858,326
75732,863,328
75736,869,331
75740,874,333
75744,879,336
75748,885,338
75752,890,341
75756,895,343
75760,901,346
75764,906,348
75768,912,351
75772,918,354
75776,924,357
75780,930,360
75784,936,362
75788,942,364
75792,948,367
75796,954,369
75800,961,372
75804,967,375
75808,973,378
75812,979,381
75816,985,384
75820,992,387
75824,996,390
75828,1001,394
75832,1006,397
75836,1011,401
75840,1016,405
75844,1023,408
75848,1030,411
75852,1037,414
75856,1044,417
75860,1051,420
75864,1057,422
75868,1064,424
75872,1070,426
75876,1077,428
75880,1084,431
75884,1090,433
75888,1096,436
75892,1102,438
75896,1108,441
75900,1115,444
75904,1122,448
75908,1130,452
75912,1138,456
75916,1146,460
75920,1154,464
75924,1159,466
75928,1165,469
75932,1171,471
75936,1177,474
75940,1183,477
75944,1191,479
75948,1199,481
75952,1208,483
75956,1216,485
75960,1225,487
75964,1233,490
75968,1241,493
75972,1249,496
75976,1257,499
75980,1265,503
75984,1273,506
75988,1282,509
75992,1291,512
75996,1300,515
76000,1309,518
76004,1317,520
76008,1325,523
76012,1333,526
76016,1341,529
76020,1349,532
76024,1355,534
76028,1362,537
76032,1369,539
76036,1376,542
76040,1383,545
76044,1392,547
76048,1402,550
76052,1411,552
76056,1421,555
76060,1431,558
76064,1439,560
76068,1447,563
76072,1455,566
76076,1463,569
76080,1472,572
76084,1480,574
76088,1488,577
76092,1496,580
76096,1504,583
76100,1512,586
76104,1520,589
76108,1529,592
76112,1538,595
76116,1547,598
76120,1556,602
76124,1564,604
76128,1572,606
76132,1581,608
76136,1589,610
76140,1598,612
76144,1607,614
76148,1617,616
76152,1626,618
76156,1636,620
76160,1646,623
76164,1654,623
76168,1663,624
76172,1672,624
76176,1681,625
76180,1690,626
76184,1698,626
76188,1707,627
76192,1716,627
76196,1725,628
76200,1734,629
76204,1744,628
76208,1754,628
76212,1764,627
76216,1774,627
76220,1785,627
