,X,Y
9340,1565,353
9344,1555,352
9348,1546,352
9352,1536,352
9356,1527,352
9360,1518,352
9364,1509,350
9368,1500,348
9372,1491,346
9376,1482,344
9380,1474,342
9384,1466,338
9388,1458,334
9392,1451,330
9396,1443,326
9400,1436,322
9404,1427,319
9408,1419,316
9412,1410,313
9416,1402,310
9420,1394,308
9424,1385,305
9428,1376,302
9432,1368,300
9436,1359,297
9440,1351,295
9444,1344,291
9448,1337,288
9452,1331,284
9456,1324,281
9460,1318,278
9464,1311,275
9468,1304,272
9472,1297,269
9476,1290,266
9480,1284,264
9484,1277,260
9488,1271,257
9492,1264,254
9496,1258,251
9500,1252,248
9504,1244,245
9508,1237,242
9512,1230,240
9516,1223,237
9520,1216,235
9524,1208,232
9528,1201,230
9532,1193,228
9536,1186,226
9540,1179,224
9544,1173,219
9548,1167,214
9552,1161,209
9556,1155,204
9560,1150,200
9564,1145,197
9568,1140,194
9572,1135,191
9576,1130,188
9580,1125,186
9584,1122,180
9588,1119,175
9592,1117,169
9596,1114,164
9600,1112,159
9604,1110,155
9608,1108,151
9612,1107,148
9616,1105,144
9620,1104,141
9624,1102,136
9628,1101,132
9632,1100,128
9636,1099,124
9640,1098,120
9644,1097,115
9648,1097,110
9652,1097,106
9656,1097,101
9660,1097,97
9664,1097,93
9668,1098,89
9672,1098,85
9676,1099,81
9680,1100,77
9684,1096,74
9688,1092,71
9692,1088,68
9696,1084,65
9700,1081,62
9704,1075,60
9708,1069,58
9712,1064,57
9716,1058,55
9720,1053,54
9724,1046,52
9728,1040,50
9732,1033,49
9736,1027,47
9740,1021,46
