,X,Y
33980,476,1021
33984,471,1015
33988,466,1009
33992,461,1003
33996,456,997
34000,452,992
34004,446,986
34008,441,981
34012,435,975
34016,430,970
34020,425,965
34024,420,958
34028,415,952
34032,410,945
34036,405,939
34040,401,933
34044,394,928
34048,387,923
34052,381,918
34056,374,913
34060,368,909
34064,363,905
34068,359,901
34072,354,897
34076,350,893
34080,346,889
34084,339,884
34088,333,879
34092,326,874
34096,320,869
34100,314,864
34104,310,859
34108,306,855
34112,302,850
34116,298,846
34120,295,842
34124,289,837
34128,284,833
34132,279,829
34136,274,825
34140,269,821
34144,263,815
34148,257,809
34152,251,803
34156,245,797
34160,240,792
34164,237,788
34168,234,784
34172,231,780
34176,228,776
34180,225,773
34184,221,767
34188,217,762
34192,213,757
34196,209,752
34200,205,747
34204,202,742
34208,199,738
34212,196,734
34216,193,730
34220,191,726
34224,189,722
34228,187,719
34232,185,716
34236,183,713
34240,182,710
34244,177,706
34248,172,702
34252,167,699
34256,162,695
34260,158,692
34264,151,689
34268,144,686
34272,138,683
34276,131,680
34280,125,678
34284,121,676
34288,117,674
34292,113,672
34296,109,670
34300,105,668
