,X,Y
92300,1874,1037
92304,1867,1028
92308,1861,1020
92312,1854,1012
92316,1848,1004
92320,1842,996
92324,1838,988
92328,1834,980
92332,1830,973
92336,1826,965
92340,1823,958
92344,1820,949
92348,1817,941
92352,1814,933
92356,1811,925
92360,1808,917
92364,1804,910
92368,1800,903
92372,1796,896
92376,1792,889
92380,1788,882
92384,1783,874
92388,1779,867
92392,1774,860
92396,1770,853
92400,1766,846
92404,1762,839
92408,1759,833
92412,1755,827
92416,1752,821
92420,1749,815
92424,1746,808
92428,1743,801
92432,1740,794
92436,1737,787
92440,1735,781
92444,1732,775
92448,1730,769
92452,1728,763
92456,1726,757
92460,1724,752
92464,1721,746
92468,1718,740
92472,1715,734
92476,1712,728
92480,1709,723
92484,1705,718
92488,1702,713
92492,1699,708
92496,1696,703
92500,1693,698
92504,1690,691
92508,1688,685
92512,1685,679
92516,1683,673
92520,1681,667
92524,1677,661
92528,1673,656
92532,1669,651
92536,1665,646
92540,1662,641
92544,1657,637
92548,1653,633
92552,1649,629
92556,1645,625
92560,1641,621
92564,1638,616
92568,1635,611
92572,1632,607
92576,1629,602
92580,1626,598
92584,1624,593
92588,1623,588
92592,1622,583
92596,1621,578
92600,1620,573
92604,1619,567
92608,1618,561
92612,1618,556
92616,1617,550
92620,1617,545
92624,1613,541
92628,1610,537
92632,1606,533
92636,1603,529
92640,1600,526
92644,1598,522
92648,1596,518
92652,1594,514
92656,1592,510
92660,1591,506
92664,1589,501
92668,1588,497
92672,1587,493
92676,1586,489
92680,1585,485
92684,1582,481
92688,1579,477
92692,1577,473
92696,1574,469
92700,1572,466
92704,1571,461
92708,1570,457
92712,1569,452
92716,1568,448
92720,1568,444
92724,1567,441
92728,1567,438
92732,1566,435
92736,1566,432
92740,1566,430
92744,1566,427
92748,1567,425
92752,1568,423
92756,1569,421
92760,1570,419
92764,1572,418
92768,1575,417
92772,1577,416
92776,1580,415
92780,1583,414
92784,1585,411
92788,1588,409
92792,1590,406
92796,1593,404
92800,1596,402
