,X,Y
79080,1175,91
79084,1177,93
79088,1179,95
79092,1182,97
79096,1184,99
79100,1187,102
79104,1186,103
79108,1186,104
79112,1186,105
79116,1186,106
79120,1186,108
79124,1185,110
79128,1185,113
79132,1185,115
79136,1185,118
79140,1185,121
79144,1185,123
79148,1186,126
79152,1186,128
79156,1187,131
79160,1188,134
79164,1187,136
79168,1186,139
79172,1185,141
79176,1184,144
79180,1184,147
79184,1183,150
79188,1182,153
79192,1182,156
79196,1181,159
79200,1181,163
79204,1179,165
79208,1178,168
79212,1177,171
79216,1176,174
79220,1175,177
79224,1176,179
79228,1177,182
79232,1179,185
79236,1180,188
79240,1182,191
79244,1181,192
79248,1180,194
79252,1180,196
79256,1179,198
79260,1179,200
79264,1178,204
79268,1177,209
79272,1176,213
79276,1175,218
79280,1175,223
79284,1174,225
79288,1174,227
79292,1174,229
79296,1174,231
79300,1174,233
79304,1172,236
79308,1171,239
79312,1170,243
79316,1169,246
79320,1168,250
79324,1169,254
79328,1170,258
79332,1171,262
79336,1172,266
79340,1173,270
79344,1173,273
79348,1173,276
79352,1173,279
79356,1173,282
79360,1174,285
79364,1174,289
79368,1174,293
79372,1175,297
79376,1175,301
79380,1176,305
79384,1175,308
79388,1175,311
79392,1175,314
79396,1175,317
79400,1175,320
79404,1174,323
79408,1174,326
79412,1173,329
79416,1173,332
79420,1173,335
79424,1171,338
79428,1169,342
79432,1168,346
79436,1166,350
79440,1165,354
79444,1165,358
79448,1165,362
79452,1165,367
79456,1165,371
79460,1166,376
79464,1165,379
79468,1165,383
79472,1165,387
79476,1165,391
79480,1165,395
79484,1164,399
79488,1164,403
79492,1164,407
79496,1164,411
79500,1164,415
79504,1162,419
79508,1160,424
79512,1158,429
79516,1156,434
79520,1155,439
79524,1152,443
79528,1149,447
79532,1147,451
79536,1144,455
79540,1142,459
79544,1142,463
79548,1143,467
79552,1144,472
79556,1145,476
79560,1146,481
79564,1144,487
79568,1142,493
79572,1140,499
79576,1138,505
79580,1136,512
79584,1135,516
79588,1135,521
79592,1134,525
79596,1134,530
79600,1134,535
79604,1133,541
79608,1132,547
79612,1131,554
79616,1130,560
79620,1129,567
79624,1126,572
79628,1123,578
79632,1120,583
79636,1117,589
79640,1115,595
79644,1111,599
79648,1108,604
79652,1104,609
79656,1101,614
79660,1098,619
79664,1092,624
79668,1087,630
79672,1081,636
79676,1076,642
79680,1071,648
79684,1064,652
79688,1057,657
79692,1050,661
79696,1043,666
79700,1036,671
79704,1028,676
79708,1020,681
79712,1013,687
79716,1005,692
79720,998,698
79724,991,703
79728,984,708
79732,978,714
79736,971,719
79740,965,725
79744,957,730
79748,949,736
79752,942,742
79756,934,748
79760,927,754
79764,919,758
79768,911,763
79772,903,768
79776,895,773
79780,887,778
79784,879,786
79788,871,794
79792,863,802
79796,855,810
79800,848,819
79804,840,825
79808,832,831
79812,824,837
79816,816,843
79820,809,850
79824,802,856
79828,795,862
79832,788,869
79836,781,875
79840,774,882
79844,766,889
79848,759,896
79852,751,903
79856,744,910
79860,737,917
79864,727,924
79868,718,931
79872,708,938
79876,699,945
79880,690,952
79884,679,959
79888,669,967
79892,658,975
79896,648,983
79900,638,991
79904,626,999
79908,615,1007
79912,603,1015
79916,592,1023
79920,581,1032
79924,570,1039
79928,559,1046
79932,548,1053
79936,537,1060
79940,527,1068
